COD_DANE_A,VERSION,AREA,Casa_indigena,Total_Viviendas,Casa,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,Acueducto_SI,Acueducto_NO,Alcantarillado_SI,Alcantarillado_NO,GasNatural_SI,GasNatural_SI,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguno,Ninguno,No_responde
7300110000000000331129,2018,13732.260835,0,221,4,216,1,344,0,172,0,172,0,170,0,419,177,242,66,118,170,40,5,4,82
7300110000000000331132,2018,17596.351365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000340207,2018,525251.809958,0,63,37,20,5,124,0,62,0,54,8,43,16,157,74,83,0,0,24,0,4,27,102
7300110000000000340212,2018,398773.505001,0,258,10,248,0,150,0,75,0,73,2,70,5,183,84,99,24,0,55,0,4,4,120
7300110000000000530419,2018,1233.610851,0,25,18,7,0,46,0,23,0,23,0,22,1,72,30,42,0,0,15,0,0,1,56
7300110000000000530430,2018,9007.368732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560103,2018,1217.923141,0,18,2,16,0,32,0,16,0,16,0,16,0,54,23,31,22,0,6,0,0,0,48
7300110000000000560104,2018,491.703207,0,8,2,6,0,16,0,8,0,8,0,7,1,25,14,11,0,0,0,0,0,0,25
7300110000000000560105,2018,863.569110,0,18,8,10,0,30,0,15,0,15,0,15,0,58,28,30,0,0,7,0,0,0,51
7300110000000000560106,2018,572.087089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560107,2018,670.655353,0,7,3,4,0,14,0,7,0,7,0,7,0,24,10,14,0,0,10,0,1,0,13
7300110000000000560109,2018,4276.450352,0,32,30,2,0,58,0,29,0,29,0,28,0,90,40,50,0,0,26,0,6,0,58
7300110000000000560110,2018,1360.752542,0,24,22,1,1,38,0,19,0,19,0,19,0,63,33,30,15,0,17,0,0,2,44
7300110000000000560112,2018,1547.051584,0,21,20,1,0,34,0,17,0,17,0,17,0,61,24,37,13,0,23,0,0,0,38
7300110000000000560117,2018,11165.768299,0,128,85,37,6,250,0,125,0,125,0,125,0,387,184,203,95,0,94,0,6,11,276
7300110000000000560122,2018,5051.081877,0,29,9,19,1,52,0,26,0,26,0,25,0,78,39,39,24,0,8,0,2,2,66
7300110000000000560128,2018,1136.529364,0,51,41,9,1,88,0,44,0,44,0,44,0,153,73,80,20,0,48,0,2,2,101
7300110000000000560129,2018,1198.559852,0,28,12,16,0,52,0,26,0,26,0,26,0,87,43,44,17,0,16,0,2,1,68
7300110000000000560130,2018,1169.767505,0,18,10,8,0,36,0,18,0,18,0,18,0,62,24,38,0,0,6,0,0,3,53
7300110000000000560131,2018,1240.995546,0,32,12,20,0,54,0,27,0,27,0,27,0,94,49,45,31,0,17,0,0,1,76
7300110000000000560134,2018,48325.611666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560135,2018,1268.263658,0,23,17,6,0,38,0,19,0,19,0,19,0,67,28,39,0,0,14,0,0,2,51
7300110000000000560136,2018,869.870440,0,19,17,2,0,34,0,17,0,17,0,17,0,55,27,28,0,0,7,0,1,1,46
7300110000000000560137,2018,1169.609687,0,37,24,12,1,64,0,32,0,32,0,32,0,110,57,53,32,0,22,0,0,1,87
